country,Region indicator,"Life ladder, 2015-2017","Standard error, life ladder, 2015-2017","Log of GDP per person, 2015-2017","GDP per person, 2015-2017","Healthy life expectancy, 2015-2017","Social support, 2015-2017","Standard error, social support, 2015-2017","Freedom to make life choices, 2015-2017","Standard error, freedom to make life choices, 2015-2017","Generosity, 2015-2017, without adjustment for GDP per person","Standard error, generosity, 2015-2017","Perceptions of corruption, 2015-2017","Standard error, perceptions of corruption, 2015-2017"
Malawi,Sub-Saharan Africa,3.58676290512085,0.0532647669315338,6.99455070495605,1090.67358398438,53.6189613342285,0.526804506778717,0.010558532550931,0.820440769195557,0.00814070831984282,0.17348401248455,0.00793320778757334,0.798514842987061,0.00780038349330425
Malaysia,Southeast Asia,6.32212114334106,0.0791670754551888,10.1266956329346,25001.61328125,65.055305480957,0.819711863994598,0.0156678147614002,0.673755049705505,0.019068006426096,0.574268162250519,0.0201786998659372,0.837454676628113,0.0139336315914989
Mali,Sub-Saharan Africa,4.44701337814331,0.0468635968863964,7.58461856842041,1967.69592285156,48.7782363891602,0.809471189975739,0.00876884441822767,0.683123886585236,0.0105164935812354,0.111183062195778,0.00682248314842582,0.843466877937317,0.00783914048224688
Malta,Western Europe,6.62660932540894,0.0420934893190861,10.4764032363892,35468.60546875,71.8295135498047,0.928674340248108,0.00572932325303555,0.917005300521851,0.00601989636197686,0.701128482818604,0.0102558024227619,0.684073209762573,0.00885066296905279
Mauritania,Sub-Saharan Africa,4.35546255111694,0.0466577522456646,8.18592166900635,3590.05102539063,53.1861457824707,0.81431257724762,0.00914889667183161,0.482289999723434,0.0120973652228713,0.147491633892059,0.00810010079294443,0.774384140968323,0.0101724872365594
Mauritius,Sub-Saharan Africa,5.89146900177002,0.0584303811192513,9.89810562133789,19892.650390625,65.5192718505859,0.872500658035278,0.00862089730799198,0.865327894687653,0.00890448875725269,0.451298952102661,0.0130704203620553,0.85456383228302,0.00880490895360708
Mexico,Latin America and Caribbean,6.48821020126343,0.0472340658307076,9.73140335083008,16838.166015625,67.9359893798828,0.817257642745972,0.00845146272331476,0.777239978313446,0.00928834918886423,0.165230244398117,0.00824490375816822,0.771834075450897,0.00771728716790676
Moldova,Commonwealth of Independent States,5.63972425460815,0.0366682671010494,8.50574398040771,4943.08056640625,63.5156631469727,0.837060153484344,0.0074602565728128,0.569458484649658,0.0102813392877579,0.228209421038628,0.00844167824834585,0.94605153799057,0.00406552013009787
Mongolia,East Asia,5.12461614608765,0.0378494821488857,9.33296203613281,11304.56640625,62.1037521362305,0.925548017024994,0.00520895468071103,0.706538558006287,0.00936853978782892,0.420851588249207,0.00987089425325394,0.888112187385559,0.00634295865893364
Montenegro,Central and Eastern Europe,5.34754848480225,0.0523477159440517,9.66409873962402,15742.17578125,66.9461135864258,0.82835590839386,0.0083675179630518,0.592260122299194,0.0108887581154704,0.225287452340126,0.00887553952634335,0.796306431293488,0.00897057726979256
Morocco,Middle East and North Africa,5.25371313095093,0.0380550771951675,8.89815902709961,7318.48779296875,65.0490493774414,0.631378412246704,0.00867898389697075,0.761203765869141,0.00798716396093369,0.0355939976871014,0.00319480383768678,0.809573471546173,0.0082911541685462
Mozambique,Sub-Saharan Africa,4.4166088104248,0.0817514359951019,7.03285551071167,1133.26208496094,49.4286994934082,0.674101829528809,0.0130115775391459,0.820715188980103,0.0110570834949613,0.168333515524864,0.00998163130134344,0.654548346996307,0.0128323333337903
Myanmar,Southeast Asia,4.30781412124634,0.0381439700722694,8.58771705627441,5365.35107421875,57.5094184875488,0.785158336162567,0.00759632885456085,0.861743927001953,0.00693642580881715,0.89988648891449,0.00621222611516714,0.617967665195465,0.00894511677324772
Namibia,Sub-Saharan Africa,4.44130611419678,0.108363881707191,9.20336246490479,9930.4638671875,55.4954261779785,0.829156398773193,0.0154124954715371,0.81097948551178,0.0149020534008741,0.0981812626123428,0.0115689691156149,0.828175961971283,0.0118677066639066
